,name,price_current,price_original,reviews_number,seller,score,brand,Series,Color,height_cm,width_cm,screen_size_in,resolution_x,resolution_y,proc_brand,Tipo de procesador,proc_speed_ghz,ram,Tecnología de la memoria,ram_type,ram_max,memory,Descripción del disco duro,memory_interface,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,gpu_ram,gpu_interface,Tipo de conexión inalámbrica,usb_2,usb_3,Tipo de unidad óptica,os,battery_wh,battery_cells,weight_kg,Número de modelo del producto,since
133,"Dell 5567/R Portátil 15.6"", Intel Core i7, Memoria RAM de 8GB, Disco Duro de 1000GB, Windows 10 Home, color Rojo",,,9,Dell,3.6,Dell,Inspirion,Rojo,0.23,25.9,16.0,,,Intel,Intel Core i7,2.4,8,,,16.0,1000,SATA,ATA,,amd_radeon_r7_m445,,,,802.11ag,,2,DVD+R,Windows 10 Home,12,,3.4,5567/R,2016-12-22
134,"Desktop Alienware Aurora, Procesador Core i7, 16GB + OPTANE MEMORY, 2TB DD, GPU NVIDIA GEFORCE, Plata, AACFL_i7162optT60SW10s_120",57499.01,,,Alienware,,Alienware,Alienware R8,,18.6,21.2,16.0,,,Intel,Intel Core i7,4.6,16,,SDRAM,32.0,2000,SATA,Serial ATA,,,,,,"802.11b, Bluetooth",6,6,,Windows 10,31,4.0,3.1,AACFL_i7162optT60SW10s_120,2019-02-25
135,"Samsung Chromebook Pro Convertible Touch Screen Laptop, 12.3 (XE510C24-K01US)",21950.0,,471,Samsung,4.0,SAMSUNG,Samsung,,0.14,22.1,12.0,,,AMD,Athlon Dual Core,900.0,4,DDR3,DDR3,4.0,500,,IDE,,,,,Integrado,802.11g,,2,None,DOS,39,2.0,1.7,XE510C24-K01US,2017-05-15
136,"Asus TUF Gaming Laptop, 17.3” Full HD IPS Type, AMD Ryzen 5 3550H CPU, AMD Radeon RX560X, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home - FX705DY-EH53",,,131,Asus,4.2,Asus,TUF Gaming FX705DY,,0.28,27.9,17.0,,,,,,8,DDR4,DDR4,,,,,,,,,PCI-E,"802.11a/b/g/n/ac, Bluetooth",1,,,Windows 10 Home,64,4.0,3.9,FX705DY-EH53,2019-10-23
137,"MSI GF75 17.3"" Gaming Laptop Intel Core i7-9750H 8GB RAM 512GB SSD 120Hz GTX 1660 Ti Aluminum Black",,,10,MSI,4.0,MSI,MSI GF75,,,,17.0,,,,8032,,,,,,,,,NVIDIA GeForce GTX 1660Ti,dedicated,,,,,,,,,51,3.0,4.2,,2019-12-25
138,"2020 Dell Inspiron 14"" Laptop Computer 10th Gen Intel i3 1005G1 Up to 3.4GHz 4GB DDR4 RAM 128GB PCIe SSD Untel UHD Graphics HDMI 802.11ac WiFi Bluetooth 4.1 Windows 10",13099.0,,6,Dell,5.0,Dell,i3493-3464BLK-PUS,Negro,0.2,23.3,14.0,1366,768,Intel,Core i3 Family,1.2,4,DDR4,DDR4,,128,,Solid State,Intel UHD Graphics,intel_hd_graphics_620,,,,802.11ac,,,,Windows 10,45,1.0,2.4,i3493-3464BLK-PUS,2019-11-30
139,"Dell Inspiron 15.6"" Home and Business Laptop HD Touchscreen PC Core i5-8265U, 8GB RAM, 256GB SSD, 4 Cores Up to 3.90 GHz, UHD Graphics 620, Lan, Webcam, SD Card, Win 10",,,1,Dell,5.0,Dell,850011104200,,0.2,25.9,16.0,1366,768,Intel,Intel Core i5,1.6,8,DDR4,DDR4,,256,,Solid State,Intel UHD Graphics 620,Integrated,,,,802.11ac,,,,Windows 10,4,2.0,2.8,W1J46FX,2019-11-24
140,"ASUS 2020 TUF 15.6 Inch FHD IPS Gaming Laptop (AMD Ryzen 7 R7-3750H up to 4.0 GHz, 8GB RAM, 256GB SSD, NVIDIA GeForce GTX 1650, RGB Backlit Keyboard, Bluetooth, WiFi, HDMI, Windows 10)",,,,Asus,,Asus,Asus,,0.19,26.2,16.0,1920,1080,AMD,AMD A Series,2.3,8,,DDR4,,256,,Serial ATA,NVIDIA GeForce GTX 1650,nvidia_geforce_gtx,,,,802.11ac,,,,Windows 10,48,3.0,3.3,Asus,2019-08-29
141,"MSI GF75 17.3"" Gaming Laptop Intel Core i7-9750H 8GB RAM 512GB SSD 120Hz GTX 1650 Aluminum Black",,,6,MSI,4.1,MSI,,,,,17.0,,,,8032,,,,,,,,,NVIDIA GeForce GTX 1050 Ti,dedicated,,,,,,,,,62,,4.0,,2019-12-15
142,"New HP 15.6"" HD Touchscreen Laptop Intel Core i3-1005G1 8GB DDR4 RAM 128GB SSD HDMI Bluetooth 802.11/b/g/n/ac Windows 10 15-dy1731ms Silver",,,91,HP,4.4,HP,15-dy1731ms,Plateado,0.18,24.2,16.0,1366,768,Intel,Intel Core i3,1.2,8,DDR4,DDR4,8.0,128,,Solid State,Intel UHD Graphics,Integrated,DDR3 SDRAM,2,Integrado,"802.11b/g, 802.11bgn, 802.11b",,,No Optical Drive,Windows 10,30,3.0,2.2,7PA01UA,2019-12-07
143,"Asus 14.0"" HD visualización Ancha LED portátil de Alto Rendimiento, procesador de la Serie A6, 4 GB de RAM DDR4, 500 GB de Disco Duro, cámara Web, inalámbrica + Bluetooth, HDMI, Ventana 10",,,104,Asus,3.5,Asus,ASUS,Gradiente de plata.,7.6,30.5,14.0,,,Intel,AMD A6,2.6,8,"SDRAM, DDR4",DDR,1.0,512,,Solid State,AMD,integrated,PC-133 SDRAM Memory,,AGP,802.11bgn,1,,BD-R,Windows 10,19,4.0,2.2,X441BA-CBA6A,2019-04-10
144,"Lenovo 2018 Business Flagship Laptop 15.6"" táctil antirreflejo Intel 8th Gen i5-8250U Procesador cuatro núcleos 12GB DDR4 RAM 1TB HDD DVD-RW Webcam HDMI Dolby Audio Windows 10",,,76,Lenovo,3.5,Lenovo,Lenovo 320,Plateado,0.25,27.9,16.0,,,Intel,Intel Core i5,1.6,8,,DDR3,,1,,Serial ATA,Intel HD Graphics 620,intel_hd_graphics_620,,,,Bluetooth,,,,Windows 10,5,2.0,2.7,T8TJG,2017-12-12
145,"Dell Latitude 7300 - computadora portátil de 13,3"", Intel Core i7-8665U, 8 GB de RAM, 256 GB SSD",,,,Dell,,Dell,7300,,0.19,30.6,13.0,,,Intel,Core i7 Family,1.9,8,,DDR4,8.0,256,,Solid State,Intel UHD Graphics 620,,DDR4 SDRAM,,Integrado,Infrarrojo,,,No Optical Drive,Windows 10 Pro,52,4.0,2.2,7300,2019-08-31
146,Acer Laptop Aspire 3 AMD A9 9420E 4GB SSD 128GB 14 Win10 A314-21-91V1,,,17,Acer,3.8,Acer,Acer Aspire,Negro,0.2,24.4,14.0,1366,768,AMD,AMD A Series,1.8,4,DDR4,DDR,,128,,Solid State,AMD Radeon R5,amd_radeon_r5,,,,802.11ac,,,,Windows,4,2.0,2.4,Acer,2019-08-22
147,"Alienware 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 256GB Solid State Drive + 1TB Hard Drive - Black",,,49,Alienware,4.4,Alienware,17 R5,"Negro, Plata",0.3,33.2,17.0,1920,1080,Intel,Intel Core 2 Quad,2.2,16,"SO-DIMM, DDR4-SDRAM",GDDR5,32.0,1256,,PCIE x 16,NVIDIA GeForce GTX 1070,NVIDIA® GeForce® GTX 1070,72-Pin EDO SIMM Memory,,AGP,"802.11a, 802.11b, 802.11g",1,,No,Windows 10 Home,68,4.0,8.7,AW17R5-7811BLK-PUS,2018-06-09
148,"HP Stream - computadora portátil de 14 Pulgadas, Intel Celeron N4000, 4 GB de RAM, 64 GB de eMMC, Windows 10 Home in S Mode (14-cb159nr, Color Negro Azabache)",,,867,HP,4.3,HP,14-cb159nr,,,,14.0,,,Intel,Celeron N,2.6,4,SDRAM,SDRAM,4.0,64,,Solid State,,Integrated,DDR4 SDRAM,,Integrado,,1,,No Optical Drive,Windows 10,41,3.0,2.1,8MB46UA#ABA,2019-09-11
149,"Lenovo - 330S-15ARR 15.6"" Laptop - AMD Ryzen 5 - 8GB Memory - 128GB Solid State Drive - Platinum Gray",,,79,Lenovo,3.6,Lenovo,Lenovo Ideapad,Platino/Gris,0.2,24.4,16.0,1920,1080,AMD,AMD R Series,2.0,8,,DDR3,,128,,Solid State,,,,,,802.11ac,,,,Windows 10,12,2.0,2.3,81FB006AUS,2018-12-24
150,"Lenovo 100-15IBY 80MJ 80MJ00G2US 15.6"" Notebook, LCD, Intel Celeron N2840 (1M Cache, up to 2.58 GHz), 500GB HDD, 4GB RAM, Windows 10, Black",,,13,Lenovo,3.7,Lenovo,Celeron,negro,0.25,0.25,16.0,,,Intel,Intel Celeron,2.16,4,"SO-DIMM, SDRAM",SDRAM,8.0,500,,,Intel HD Graphics,Integrated,,,,Bluetooth,,,,Windows 10,5,3.0,2.3,80MJ00G2US,2017-10-21
151,"GIGABYTE Aero 15 Classic-SA-U73ADW 15"" Thin Bezel UHD Auo IPS Adobe RGB 100%, i7-9750H, NVIDIA GeForce GTX 1660 Ti, Samsung 16GB RAM, M.2 PCIe 256GB Intel SSD, W10 Home, 94Wh Ultra Slim Gaming Laptop",54420.0,,137,Gigabyte,4.3,GIGABYTE,AERO 15 Classic,,0.19,24.9,16.0,,,Intel,,,16,"DRAM, DDR4",SODIMM,64.0,,,PCIE x 4,NVIDIA GeForce,Dedicated,GDDR6,,PCI-E,"802.11ac, Bluetooth",,,No Optical Drive,Windows 10 Home,94,1.0,3.7,AERO 15 Classic-SA-U73ADW,2019-06-29
152,"Alienware 15 R4 Gaming Laptop, 15.6"" FHD IPS Display, Intel Core i7-8750H, 16GB DDR4 RAM, 128GB SSD + 1TB HDD, NVIDIA GTX 1060, Windows 10, Black",47150.0,,3,Alienware,3.3,Alienware,AW 15 R4,,,,16.0,1920,1080,Intel,Intel Core i7,4.4,16,,SDRAM,,1128,,Solid State,NVIDIA GeForce GTX 1060,Dedicated,,,,802.11ac,,,,Windows 10,68,9.0,5.7,,2018-06-09
153,"Acer Nitro 7 Laptop para Juegos, GTX 1650., 16GB / 512GB",,,52,Acer,4.2,Acer,AN715-51-752B,,0.2,26.0,16.0,,,Intel,,,16,DDR4,,32.0,512,,Solid State,NVIDIA GeForce GTX 1650,Dedicated,GDDR5,,Integrado,802.11ac,1,,None,Windows 10 Home,42,3.0,3.4,AN715-51-752B,2019-05-04
154,"HP 15.6"" HD (1366 x 768) Flagship Touch Screen Laptop, Intel Core i3-1005G1 Processor, 8GB DDR4 RAM, 128GB SSD, 802.11ac, Bluetooth 4.2, HDMI, USB 3.1, Windows 10 – Natural Silver",,,21,HP,4.3,HP,HP 15,Plateado natural,0.18,24.2,16.0,1366,768,Intel,Intel Core i3,1.2,8,DDR4,DDR4,,128,,Solid State,Intel UHD Graphics,,,,,802.11ac,1,,,Windows 10,42,3.0,2.2,HP 15,2019-12-29
155,"Laptop HP 15.6"" HD Sva BrightView Intel Core i5, 8GB RAM, 2TB HDD,Intel HD Graphics 620  Windows 10 (púrpura) teclado en inglés",,,76,HP,3.9,HP,HP15-c,Púrpura,0.24,25.4,16.0,,,Intel,Intel Core i5,1.6,8,,DDR3,,2,,Serial ATA,Intel HD Graphics 620,intel_hd_graphics_620,,,,802.11ac,,,,Windows 10,4,2.0,2.6,T8TJG,2017-11-22
156,"Lenovo 130-15AST - Laptop de 15,6"" AMD A9-Series, 4GB DDR4 RAM, 128 GB SSD, Wi-Fi, HDMI, Bluetooth, Windows 10, Negro",,,148,Lenovo,4.1,Lenovo,81H5002FUS,,0.23,37.6,16.0,,,AMD,AMD R Series,3.1,4,DDR4,DDR4,100.0,128,,ATA,Other,integrated,DDR2 SDRAM,,AGP,Bluetooth,1,,Blu-Ray RW,Windows 10,45,4.0,2.6,,2019-03-31
157,"Microsoft Surface Laptop 2 (Intel Core i5, 8GB RAM, 128GB) - Platinum (Newest Version)",,,94,Microsoft,4.2,Microsoft,,Platinum,0.24,22.3,14.0,,,,i7-3960X,,8,,DDR,,128,,,,,,,Integrado,"802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a",,,,,45,4.0,2.3,LQL-00001,2018-10-18
158,"HP Spectre x360 15-bl112dx Negro, Cobre, Plata Híbrido (2-en-1) 39.6 cm (15.6"") 3840 x 2160 Pixeles Pantalla táctil 8ª generación de procesadores Intel® Core™ i7 i7-8550U 16 GB DDR4-SDRAM 512 GB SSD - Ordenador portátil (8ª generación de procesadores Intel® Core™ i7, 1.80 GHz, 39.6 cm (15.6""), 3840 x 2160 Pixeles, 16 GB, 512 GB)",,,6,HP,4.0,HP,15-bl112dx,"Negro, Cobre, Plata",0.18,25.1,16.0,3840,2160,Intel,Intel Core i7,1.8,16,"SO-DIMM, DDR4-SDRAM",GDDR5,,512,,PCIE x 16,NVIDIA GeForce MX150,NVIDIA® GeForce® MX150,,2,,"802.11b, 802.11g",,,No,Windows 10 Home,79,6.0,4.4,Z4Z38UA,2017-10-29
159,"Lenovo IdeaPad S340 - computadora portátil (15,6"", Intel Core i3 (hasta 3,90 GHz), memoria DDR4 de 8 GB, memoria NVMe SSD de 128 GB, USB tipo C, lector SD, teclado retroiluminado, cámara web de 720p, 1366 x 768, ónix negro)",,,3,Lenovo,3.8,Lenovo,Lenovo Ideapad,,0.18,24.4,16.0,1366,768,Intel,Intel Core i3,3.9,8,,DDR4,,128,,Solid State,Intel UHD Graphics 620,,,,,802.11ac,,,,Windows 10,5,2.0,2.4,,2019-07-20
160,Laptop Gamer Alienware Area 51M i7 16GB 256GB 1TB RTX 2070,,,5,Alienware,4.8,Alienware,Dell Alienware Area 51M,,15.2,50.8,17.0,1920,1080,Intel,,4.9,16,DDR4,DDR,,256,,,NVIDIA®,Dedicated,,8,PCI-E,802.11ac,,,,Windows 10,91,6.0,7.8,Dell Alienware Area 51M,2019-05-21
161,"Newest Lenovo IdeaPad S145 15.6"" HD Business Laptop, AMD A6-9225 Dual-core Upto 3.0GHz, 8GB RAM, 1TB HDD, AMD Radeon R4 Graphics, HDMI, WiFi, Card Reader, Windows 10, Black",,,37,Lenovo,3.7,Lenovo,IdeaPad S145,Negro,0.2,25.1,16.0,1366,768,AMD,AMD A Series,2.6,8,DDR4,DDR4,,1,,Serial ATA,AMD Radeon R4 Graphics,Integrated,DDR4 SDRAM,,Integrado,802.11ac,1,,No Optical Drive,Windows 10,8,2.0,2.4,LENOVO,2019-10-20
162,"HP Stream 14-cb011wm Azul Computadora portátil 35.6 cm (14"") 1366 x 768 Pixeles Intel® Celeron® N N3060 4 GB DDR3L-SDRAM 32 GB eMMC - Ordenador portátil (Intel® Celeron® N, 1.6 GHz, 35.6 cm (14""), 1366 x 768 Pixeles, 4 GB, 32 GB)",,,19,HP,3.2,HP,14-cb011wm,Azul,0.18,22.6,14.0,1366,768,Intel,Celeron N3060,1.6,4,DDR3L-SDRAM,PC,,32,,,,No disponible,,,,"802.11b, 802.11g",1,,No,Windows 10 Home,48,2.0,2.1,5LH92UA,2018-08-26
163,"Asus Vivobook S15 S512 Delgado y Ligero, i5 | 256 G SSD, Plateado, 15-15.99 Inches",,,28,Asus,4.5,Asus,Vivobook S15 S512FA,Plateado,0.18,23.1,16.0,,,Intel,,,8,DDR4,DDR4,12.0,256,,Solid State,Intel UHD Graphics 620,Integrated,Shared,,Integrado,"802.11b/n/ac, Bluetooth",2,,No Optical Drive,Windows 10 Home,37,2.0,2.5,S512FA-DB51,2019-07-17
164,"Dell Inspiron 2020 Premium 14” HD Laptop Notebook Computer, 4-Core 10th Gen Intel Core i5-1035G4 up to 3.7 GHz, Iris Plus Graphics, 8GB RAM, 512GB SSD, No DVD,Webcam,Bluetooth,Wi-Fi,HDMI,Windows 10",,,21,Dell,3.5,Dell,Dell laptop,,,,14.0,,,Intel,Intel Core i5,1.1,8,DDR4,DDR4,,512,,Solid State,Intel Iris Plus Graphics,intel_iris,DDR4 SDRAM,,Integrado,Bluetooth,1,,No Optical Drive,Windows 10,1,1.0,2.5,10-DELL-658,2019-12-26
165,"Alienware AW17R4-7352SLV-PUS 17"" QHD Laptop (7th Generation Intel Core i7, 32GB RAM, 256SSD + 1TB HDD, Silver) VR Ready with NVIDIA GTX 1080",,,83,Alienware,3.5,Alienware,,Epic Silver,0.3,42.4,17.0,,,Intel,8032,4.4,32,DDR4,,32.0,1000,,Solid State,NVIDIA GeForce GTX 1080,nvidia_geforce_gtx_1080,,,,802.11ac,1,,None,Windows 10 Home 64-bit English,99,6.0,7.7,AW17R4-7352SLV-PUS,2017-06-10
166,"Asus VivoBook Pro 17 Thin and Portable Laptop, 17.3"" FHD, 8th Gen Intel Core i7-8565U Processor, NVIDIA GeForce MX150, 8GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Windows 10 - N705FN-ES76",,,22,Asus,4.4,Asus,VivoBook Pro 17 N705,,0.2,26.9,17.0,,,Intel,Intel Core i7,4.6,8,DDR4,DDR4,16.0,512,,Solid State,NVIDIA GeForce MX150,,GDDR5,,PCI-E,"802.11a/b/g/n/ac, Bluetooth",2,,None,Windows 10 Home,42,3.0,3.4,N705FN-ES76,2019-01-30
167,"Laptop Dell XPS 9570 -Touchscreen de 15,6"" pulgadas UHD (3840 x 2160) 32 GB RAM, 1TB SSD, Lector de Huellas Dactilares Windows 10 Pro- Plateado",65050.0,,29,Dell,3.5,Dell,XPS 9570,,,,16.0,,,Intel,Intel Core i7,4.1,32,,DDR4,,1,,Solid State,GTX 1050Ti,nvidia_geforce_gtx_1050_ti,,,,802.11ac,,,,Windows 10,3,3.0,3.6,XPS 9570,2018-07-08
168,"HP 15.6"" Laptop, AMD A6-9220 Dual-Core Processor 2.50GHz, 4GB RAM, 500GB HDD, AMD Radeon R4 Graphics, DVD-RW, HDMI, Bluetooth, HDMI, Webcam, Windows 10",,,348,HP,3.5,HP,15t,No Touch,0.23,25.4,16.0,,,AMD,AMD A Series,2.5,4,SDRAM,DDR4,,500,,ATA,AMD Radeon R4,,,,,"802.11b/g, 802.11bgn, 802.11b",,,,Windows 10 Home,31,3.0,2.7,15t,2018-01-16
169,"ASUS VivoBook Flip 14 Thin and Light 2-in-1 HD Touchscreen Laptop, Intel 2.6GHz Processor, 4GB RAM, 64GB Storage, Windows 10 in S Mode (Switchable to Win 10 Home), 1 Year Office 365 - J401MA-YS02",,,376,Asus,4.2,Asus,ASUS,,0.15,22.6,14.0,1920,1080,AMD,Athlon Dual Core,1.1,4,DDR3,DDR4,4.0,500,,Solid State,Intel UHD Graphics 600,Integrated,Shared,4,Integrado,"802.11a/b/g/n/ac, Bluetooth",1,2,None,DOS,39,2.0,2.5,J401MA-YS02,2018-10-18
170,"2020 ASUS VivoBook 15 15.6 Inch FHD 1080P Laptop (AMD Ryzen 3 3200U up to 3.5GHz, 8GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 3, Backlit Keyboard, FP Reader, WiFi, Bluetooth, HDMI, Windows 10) (Grey)",16750.0,,11,Asus,4.5,Asus,ASUS,,0.2,23.1,16.0,1920,1080,AMD,AMD A Series,2.6,8,DDR4,DDR4,,256,,Serial ATA,AMD Radeon Vega 3,Integrated,DDR4 SDRAM,,Integrado,802.11ac,1,,No Optical Drive,Windows 10 Home,36,3.0,2.0,ASUS,2019-10-14
171,"Samsung Notebook 5 15.6"" Laptop – AMD Ryzen 5 – 8 GB de Memoria – Disco Duro de 1 TB – Titan Claro",,,26,Desconocido,4.0,Desconocido,Notebook 5,Titán claro,0.2,24.9,16.0,1920,1080,AMD,,,8,,,8.0,1,,Serial ATA,AMD RadeonTM Vega 8 graphics,Integrated,Shared,,Integrado,,1,,None,Windows 10 Home,43,3.0,2.7,NP550XTA-K01US,2018-06-25
172,"Laptop Gigabyte AORUS Microsoft Azure AI 15,6"" 15-X9-RT4BD",,,23,Gigabyte,4.0,GIGABYTE,AORUS 15,A116,0.24,24.6,16.0,1920,1080,Intel,,,16,DDR4,SODIMM,64.0,2,,PCIE x 4,NVIDIA GeForce,Dedicated,GDDR6,,PCI-E,"802.11ac, Bluetooth",,,None,Windows 10 Home,62,1.0,3.8,AORUS 15-X9-RT4BD,2019-01-24
173,"Newest HP Envy 17t Touch(10th Gen Intel i7-10510U, 1TB PCI NVMe SSD, 16GB DDR4, NVIDIA GeForce 4GB GDDR5,DVD Writer, Windows 10 Professional, 3 Years McAfee Security Key)Bang & Olufsen 17.3"" Laptop PC",,,15,HP,4.9,HP,Envy 17t 10th Gen 1TB Pro MAfee,,0.22,26.6,17.0,1920,1080,Intel,Intel Core i7,1.8,16,"SDRAM, DDR4",DDR,,1,,Solid State,NVIDIA GeForce,dedicated,GDDR5,,Integrado,"802.11ac, Bluetooth",1,,,Windows 10 Pro,52,3.0,3.6,Envy 17t 10th Gen 1TB Pro MAfee,2019-11-18
174,"HP 14"" HD – Core i3-7100U – 4 GB de Memoria – 128 GB SSD",12390.0,,11,HP,4.4,HP,5VQ99UA#ABA,,22.6,32.5,14.0,,,Intel,Core i3 7100U,2.4,128,,DDR4,4.0,,,eSATA,,Integrated,DDR4 SDRAM,,Integrado,802.11bgn,1,,No Optical Drive,Windows 10 Home in S mode,1,3.0,2.1,5VQ99UA#ABA,2019-03-30
175,"Acer Predator Helios 300 Gaming Laptop, Intel Core i7, GeForce GTX 1060, 15.6"" Full HD, 16GB DDR4, 256GB SSD, 1TB HDD, G3-572-7526",41590.0,56678.0,18,Acer,4.4,Acer,Acer Predator Series,Black,0.27,26.6,16.0,,,Intel,Intel Core i7,2.8,16,,DDR,16.0,1000,,Serial ATA,NVIDIA GeForce GTX 1060,nvidia_geforce_gtx_1060,GDDR5,6,Integrado,802.11ac,2,,None,Windows 10 Home,32,3.0,4.7,G3-572-7526,2018-05-21
176,"Lenovo Yoga 710 15.6-Inch 2-in-1 Convertible FHD Touchscreen Premium Laptop / Tablet (Intel Core i5-6200U 3M Cache 2.8GHz, 8GB DDR4 2133MHz RAM, 256GB SSD, HDMI, Backlit Keyboard, Windows 10)",,,59,Lenovo,3.5,Lenovo,FBA_760625000000,Negro,24.4,0.18,16.0,1920,1080,Intel,Intel Core i5,2.8,8,"SDRAM, DDR4",DDR3,,256,,,Intel HD Graphics 520,intel_hd_graphics_520,,,,"802.11bgn, Bluetooth",,,,Windows 10,9,3.0,2.5,FBA_760625000000,2017-01-13
177,Dell I5593_i582562GSW10s_520,16699.0,,,Dell,,Dell,Inspiron 15 5593,,,,16.0,,,Intel,None,3.6,8,DDR4,SODIMM,16.0,256,Flash Memory Solid State,ATA,,Dedicated,DDR4 SDRAM,2,Integrado,,1,,None,Windows 10 Home,42,3.0,2.8,,2020-01-15
178,"2020 Lenovo IdeaPad 14"" Laptop Computer, AMD A6-9220e 1.6GHz, 4GB Memory, 64GB eMMC Flash Memory, AMD Radeon R4, AC WiFi, Microsoft Office 365, 2 Year Warranty, Gray, Windows 10 Home",,,43,Lenovo,3.4,Lenovo,Lenovo - IdeaPad,,0.21,25.9,14.0,1366,768,Intel,AMD A Series,1.6,4,DDR4,DDR4,,64,,Solid State,AMD Radeon R4,Dedicated,DDR4 SDRAM,,Integrado,802.11ac,1,,No Optical Drive,Windows 10,35,2.0,2.1,Lenovo - IdeaPad,2019-11-24
179,"Toshiba 2-in-1 Convertible Tablet Ordenadores 39,62 cm Pantalla táctil del Ordenador portátil - Intel Core i7 12 GB DDR3L - Memoria Ram - 256 GB de Unidad de Estado sólido SSD P55W-B5318",,,171,Toshiba,2.9,Toshiba,P55W-B5318,Dorado (Satin Gold),0.3,30.7,16.0,1920,1080,Intel,Intel Core i7,2.0,12,,DDR3,12.0,256,,Solid State,Intel Integrated Graphics,,,,,"802.11bgn, Bluetooth",,,,Windows 8,60,4.0,4.6,Satellite Radius,2015-01-06
180,"HP 2-in-1 13.3"" FHD (1920 x 1080) Flagship Touch Screen Laptop, AMD Ryzen 5 2500u Processor, 8GB DDR4 RAM, 128GB SSD, 802.11ac, Bluetooth 4.2, HDMI, USB 3.1, Windows 10 – Dark Ash Silver",,,1,HP,5.0,HP,HP Envy x360,,0.15,21.3,13.0,1920,1080,AMD,Ryzen 5 2500U,2.0,8,"SDRAM, DDR4",DDR4,,128,,Solid State,AMD Radeon Vega 8,integrated,,,,802.11ac,,,,Windows 10,53,4.0,2.4,HP Envy x360,2019-11-24
181,"Lenovo 2020 Newest IdeaPad S340 15.6 Inch Laptop, Intel 4-Core i5-8265U up to 3.9GHz, Intel UHD 620, 8GB DDR4 RAM, 128GB SSD, Webcam, Bluetooth, HDMI, WiFi, Windows 10, Black",,,2,Lenovo,4.5,Lenovo,Lenovo,,0.18,24.5,16.0,1366,768,Intel,Intel Core i5,1.6,8,DDR4,DDR4,,128,,Serial ATA,Intel UHD Graphics 620,Integrated,,,,802.11ac,,,,Windows 10 Home,52,2.0,2.3,Lenovo,2019-11-12
182,"HP 2019 - Pantalla táctil para portátil de 14"" Intel Core i3 de 4 GB de RAM 128 GB SSD Windows 10, Marco de Teclado Plateado Ceniza",,,109,HP,4.0,HP,DQ0011DX,,0.18,22.5,14.0,1366,768,Intel,Intel Core i3,2.1,4,,DDR4,4.0,128,,Solid State,Intel UHD Graphics 620,Integrated,DDR3 SDRAM,,Integrado,"802.11bgn, Bluetooth",,,No Optical Drive,Windows 10 S,41,3.0,1.9,14-DQ0011DX,2019-08-28
183,"HP Stream 14-ax040wm Negro Computadora portátil 35.6 cm (14"") 1366 x 768 Pixeles Intel® Celeron® N3060 4 GB DDR3L-SDRAM 32 GB eMMC - Ordenador portátil (Intel® Celeron®, 1.6 GHz, 35.6 cm (14""), 1366 x 768 Pixeles, 4 GB, 32 GB)",,,425,HP,3.0,HP,14-ax040wm,Negro,0.18,22.6,14.0,1366,768,Intel,Intel Celeron,1.6,32,DDR3L-SDRAM,DDR3,,32,,Solid State,,No disponible,,,,"802.11b, 802.11g",1,,No,Windows 10 Home,45,2.0,2.0,14-ax040wm,2017-11-29
184,"ASUS Vivobook 2019 Premium 14 HD computadora portátil no táctil, 2 núcleos AMD A6 2,6 GHz, 8 GB DDR4 RAM, 500 GB HDD, sin DVD, Wi-Fi|Bluetooth|Webcam|HDMI|VGA, Windows 10",,,45,Asus,3.0,Asus,ASUS Vivobook,,,,14.0,1366,768,AMD,AMD A Series,2.6,4,DDR4,DDR3,,500,,Serial ATA,AMD Radeon R4,amd_radeon_r5,,,,"802.11b/g, 802.11bgn, 802.11b",,,,Windows 10,36,3.0,1.8,,2019-06-02
185,"Asus ZenBook 13 Ultra-Slim Laptop 13.3"" FHD Wideview Portátil Negro computadora notebook, Intel Core i7 | Gráficos Intel UHD, 13"" | 16GB | 512GB SSD",,,375,Asus,3.9,Asus,Asus ZenBook 13,,0.18,18.8,13.0,,,Intel,Intel Core i7,4.6,16,,DDR3,16.0,512,,Solid State,Intel HD Graphics 620,Integrated,Shared,,Integrado,"802.11b/n/ac, Bluetooth",1,,None,Windows 10 Pro,50,3.0,2.0,UX333FA-AB77,2019-04-28
186,"2020 ASUS VivoBook 15 15.6 pulgadas FHD 1080P Laptop (AMD Ryzen 3 3200U hasta 3.5GHz, 16GB DDR4 RAM, 256GB SSD, AMD Radeon Vega 3, teclado retroiluminado, lector FP, WiFi, Bluetooth, HDMI, Windows 10) (gris)",,,68,Asus,4.2,Asus,ASUS,,0.2,23.1,16.0,1920,1080,AMD,AMD A Series,2.6,16,DDR4,DDR4,16.0,256,,Serial ATA,AMD Radeon Vega 3,Integrated,DDR3 SDRAM,,Integrado,802.11ac,2,,No Optical Drive,Windows 10 Home,6,2.0,2.5,ASUS,2019-10-06
