name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Number of Lithium Ion Cells, ,Peso del envío,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        ASUS  GAMER. TUF AL044T. Ryzen 7. 8GB RAM. NVIDIA GeForce GTX 1650. 1TB HDD. Windows 10. 15.6"". Negra
                    
                

                
                    
                    
                
            ","$24,999.00"," $26,999.00",2 calificaciones,Asus,5.0 de 5 estrellas,Asus,ASUS TUF,Texture - Plastic,26.2 centimeter,25 millimeters,15.6 inches,,NVIDIA,Geode GX,2.3 GHz,8 GB,,,32 GB,,SATA 1TB 5400RPM 2.5' HDD,,NVIDIA GeForce GTX 1650,nvidia_geforce_gtx,,,,802.11ac,,2,,Windows 10,42 watt_hours,1, ,3.4 Kg,FX505DT-AL044T,5 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        ASUS Zenbook Flip E1108T. Intel Core i5 8th gen 8GB RAM. 256 SSD. Windows 10. 14"".Dorada
                    
                

                
                    
                    
                
            ","$24,999.00",,3 calificaciones,Asus,5.0 de 5 estrellas,Asus,Asus,Icicle Dorado,29.3 centimeter,9 centimeter,14 inches,,Intel,Intel Core i5-3330S,1.6 GHz,8 GB,,DDR SDRAM,8 GB,256 GB,,Serial ATA,,,,,,Bluetooth,,3,,Windows 10,57 watt_hours,3, ,2.8 Kg,UX461UA-E1108T,28 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        ASUS VivoBook BV123T. Intel Core i3. 8GB RAM. 256 SSD. Windows 10. 14"". Gris
                    
                

                
                    
                    
                
            ","$14,999.01",,5 calificaciones,Asus,5.0 de 5 estrellas,Asus,ASUS VivoBook,TRANSPARENT SILVER,32.2 centimeter,21 centimeter,14 inches,,Intel,None,2.3 GHz,8 GB,,,,,,,,,,,,802.11ac,,,,Windows 10,2.3 watt_hours,1, ,3 Kg,X420UA-BV123T,15 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL ALIENWARE M15 15.6"", GEFORCE RTX 2080,  CORE i7 8 Gen. RAM 16GB, 1TB DD + 256SSD PLATA (A15OR_i716125680W10s_120)
                    
                

                
                    
                    
                
            ","$69,999.01",,,Alienware,,Alienware,Alienware m15,,10 millimeters,36.3 centimeter,15.6 inches,,Intel,Intel Core i7,4.1 GHz,16 GB,,,16 GB,1000 GB,,,NVIDIA GeForce RTX 2080,,,,,802.11ac,,,,Windows 10,60 watt_hours,3, ,4.9 Kg,A15OR_i716125680W10s_120,25 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus TUF Thin & Light Gaming Laptop PC (FX504), 8th Gen Intel Core i7 | GTX 1050 Ti 4GB, Black Matter Edition
                    
                

                
                    
                    
                
            ","$24,399.00",,504 calificaciones,Asus,4.2 de 5 estrellas,Asus,FX504GE-ES72,Negro,25 millimeters,26.2 centimeter,15.6 inches,1920 x 1080 Pixeles,Intel,,2.2 GHz,8 GB,DDR4-SDRAM,DDR4 SDRAM,32 GB,256 GB,,Serial ATA-600,NVIDIA GeForce GTX 1050 Ti,NVIDIA GeForce GTX 1050 Ti,GDDR5,,PCI-E,802.11a/b/g/n/ac,1,,No,Windows 10 Home,48 watt_hours,4, ,3.5 Kg,FX504GE-ES72,8 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        Dell Inspiron 2020 Premium 14” HD Laptop Notebook Computer, 4-Core 10th Gen Intel Core i5-1035G4 up to 3.7 GHz, Iris Plus Graphics, 8GB RAM, 128GB SSD, No DVD,Webcam,Bluetooth,Wi-Fi,HDMI,Windows 10
                    
                

                
                    
                    
                
            ",,,73 calificaciones,Dell,3.9 de 5 estrellas,Dell,Dell laptop,Negro,20 millimeters,24.1 centimeter,14 inches,1366 x 768,Intel,Intel Core i5,1.10 GHz,8 GB,DDR4,DDR4 SDRAM,8 GB,128 GB,,Solid State,Intel Iris Plus Graphics,intel_iris,DDR3 SDRAM,,Integrado,802.11ac,1,,No Optical Drive,Windows 10,28 watt_hours,2, ,2.4 Kg,Dell Inspiron,12 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Legion Y740-17IRHg NOTEBOOK_COMPUTER,Bluetooth+ Wi-Fi,17.3inches,Intel core_i7 2.6GHz,32GB,DDR3,1000GB,Windows 10,Negro
                    
                

                
                    
                    
                
            ","$69,999.00",,1 calificación,Lenovo,5.0 de 5 estrellas,Lenovo,Legion Y740-17IRHg,Negro,30.5 centimeter,22 millimeters,17.3 inches,,Intel,Intel Core i7,2.6 GHz,32 GB,DDR3,DDR4 SDRAM,32 GB,1000 GB,,,NVIDIA GeForce RTX 2080,,,,PCI,802.11bgn,,1,None,Windows 10,5 watt_hours,3, ,5.4 Kg,Legion Y740-17IRHg,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo IdeaPad 330s-14AST Laptop 14"" HD, AMD A9, 4GB RAM, 1TB HDD, Windows 10
                    
                

                
                    
                    
                
            ","$11,099.00",,34 calificaciones,Lenovo,3.7 de 5 estrellas,Lenovo,IdeaPad 330s-14AST,Grey,31 centimeter,6.7 centimeter,14 inches,,AMD,Intel Core i5-3330S,3.1 GHz,4 GB,DDR4,DDR4 SDRAM,8 GB,1024 GB,,,,,,,,Bluetooth,,3,,Windows 10,30 watt_hours,2, ,2.1 Kg,IdeaPad 330s-14AST,18 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop VivoBook 15.6"", Core i7,  8GB RAM, 512GB SSD + 32GB Optane, X512FA-BR1412T
                    
                

                
                    
                    
                
            ","$17,999.00"," $19,999.00",,Asus,,Asus,X512FA-BR1412T,,,,15.6 inches,,Intel,Core i7-10510U,1.8 GHz,8 GB,DDR4,,12 GB,8 GB,Unidad híbrida,PCIE x 4,,Integrada,DDR4 SDRAM,8 GB,Integrado,,2,2,Ninguno,Windows 10,1 kilowatt_hours,1, ,2.5 Kg,,10 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        2020 HP 15.6"" Touchscreen Laptop Computer, Quad-Core AMD Ryzen 7 3700U up to 4.0GHz, 12GB DDR4 RAM, 256GB PCIe SSD, 802.11ac WiFi, Bluetooth 4.2, USB 3.1 Type-C, HDMI, Silver, Windows 10 Home
                    
                

                
                    
                    
                
            ","$21,099.00",,16 calificaciones,HP,4.4 de 5 estrellas,HP,15-ef,,20 millimeters,24.2 centimeter,15.6 inches,1366x768,AMD,AMD R Series,2.30 GHz,12 GB,"SDRAM, DDR4",DDR4 SDRAM,12 GB,256 GB,,PCIE x 4,AMD Radeon RX Vega 10 Graphics,amd_radeon_rx,DDR3 SDRAM,2 MB,Integrado,"802.11b/g, 802.11ac, 802.11bgn, 802.11b",,,No Optical Drive,Windows 10,41 watt_hours,3, ,2.2 Kg,15-ef,12 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        ASUS ZenBook Flip 14 Ultra Slim Convertible Laptop, 14"" Full HD Wideview, 8th Gen Intel Core i7-8565U Processor, 16GB LPDDR3, 512GB NVMe PCIe SSD, GeForce MX150, Stylus, Windows 10 - UX461FN-DH74T
                    
                

                
                    
                    
                
            ","$31,699.00",,72 calificaciones,Asus,4.0 de 5 estrellas,Asus,ASUS,,13 millimeters,22.6 centimeter,14 inches,,Intel,Intel Core i7,4.6 GHz,16 GB,DDR3,,16 GB,512 GB,,Solid State,NVIDIA GeForce MX150,,GDDR5,,PCI-E,802.11a/b/g/n/ac,,2,None,Windows 10 Home,57 watt_hours,3, ,2.7 Kg,UX461FN-DH74T,1 de diciembre de 2018
"
                
                    
                    
                

                
                    
                    
                        Lenovo Laptop IdeaPad L340-15API 15.6"", AMD RYZEN 7, RAM 8GB,2TB HDD Black
                    
                

                
                    
                    
                
            ","$16,299.00",,1 calificación,Lenovo,5.0 de 5 estrellas,Lenovo,Ideapad L340-15API,Negro,23 millimeters,36.3 centimeter,,,,,,,,,,,,,,,,,,,,,,,4 kilowatt_hours,4, ,2.5 Kg,L340-15API,5 de febrero de 2020
"
                
                    
                    
                

                
                    
                    
                        Asus ZenBook 15 Ultra-Slim Laptop, SSD de 512 GB | GTX 1050, Azul Royal, No ScreenPad
                    
                

                
                    
                    
                
            ","$50,999.00",,315 calificaciones,Asus,4.1 de 5 estrellas,Asus,UX533FD-DH74,Azul Royal,18 millimeters,22.1 centimeter,15.6 inches,,Intel,,1 GHz,16 GB,DDR4,,16 GB,512 GB,,Solid State,GTX 1050 Max-Q,Dedicated,GDDR5,,PCI-E,802.11ac,,,None,Windows 10 Home,73 watt_hours,4, ,2.6 Kg,UX533FD-DH74,23 de enero de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Vivobook S15 S532 Portátil Delgado y Ligero de 15,6"" FHD, Intel Core i5-10210U CPU, 8GB DDR4 RAM, 512 GB PCIe SSD, Windows 10 Home, cámara IR S532FA-DH55, Musgo Verde, 15-15.99 Inches
                    
                

                
                    
                    
                
            ","$23,098.70",,4 calificaciones,Asus,3.7 de 5 estrellas,Asus,VivoBook S15 S532,Musgo verde,18 millimeters,23.1 centimeter,15.6 inches,,Intel,,,8 GB,DDR4,DDR4 SDRAM,12 GB,512 GB,,Solid State,Intel UHD Graphics,Integrated,Shared,8 GB,Integrado,"802.11ax, Bluetooth",2,,No Optical Drive,Windows 10 Home,42 watt_hours,3, ,2.9 Kg,S532FA-DH55-GN,21 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Lenovo IdeaPad S150 (81VS0001US) Laptop, 14"" HD Display, AMD A6-9220e Upto 2.4GHz, 4GB RAM, 64GB eMMC, HDMI, Card Reader, Wi-Fi, Bluetooth, Windows 10 Home
                    
                

                
                    
                    
                
            ","$8,699.00",,29 calificaciones,Lenovo,3.4 de 5 estrellas,Lenovo,IdeaPad,Plateado,20 millimeters,32.8 centimeter,14 inches,1366x768,AMD,AMD A6,1.60 GHz,4 GB,,SODIMM,4 GB,64 GB,,Solid State,AMD Radeon R4 Series,Integrated,DDR3 SDRAM,2 MB,Integrado,802.11ac,,,No Optical Drive,Windows 10,20 watt_hours,2, ,2.1 Kg,S150,22 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell I3480_i541TBW10s_120 Notebook_Computer,, 14inches, Intel Core_i5 3.9GHz, 4GB,, 1000GB, Windows 10,
                    
                

                
                    
                    
                
            ","$14,249.01",$599.00,5 calificaciones,Dell,2.8 de 5 estrellas,Dell,Inspiron,,10 millimeters,33.9 centimeter,14 inches,,Intel,Intel Core i5,3.9 GHz,4 GB,,,4 GB,1000 GB,,,,,,,,802.11ac,,2,,Windows 10,42 watt_hours,3, ,2.5 Kg,I3480_i541TBW10s_120,18 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Spin 5 Full HD Touch, 8va generación habilitada para Amazon Alexa, 8GB DDR4, 256 GB SSD , PC, Gris Acero, PC
                    
                

                
                    
                    
                
            ","$21,789.15",,58 calificaciones,Acer,3.7 de 5 estrellas,Acer,SP513-52N-52PL,Gris Acero,16 millimeters,32.4 centimeter,13.3 inches,,Intel,Intel Core i5,3.4 GHz,8 GB,,,8 GB,256 GB,,Solid State,Intel UHD Graphics 620,Integrated,L2 cache,,PCI-E,802.11ac,1,,None,Windows 10 Home,48 watt_hours,3, ,2.2 Kg,SP513-52N-52PL,29 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        HP High Performance 2-in-1 Convertible Laptop, 15.6” FHD Touch-Screen IPS Display, Latest Intel Quad-Core Processor, 24GB RAM Memory, 1TB HDD, Bluetooth, 802.11AC, Windows 10
                    
                

                
                    
                    
                
            ","$24,690.00",,3 calificaciones,HP,5.0 de 5 estrellas,HP,15CR-CL,,20 millimeters,25.4 centimeter,15.6 inches,,Intel,Intel Core i5,1.60 GHz,8 GB,SDRAM,DDR4 SDRAM,,1000 GB,,USB,Intel HD Graphics 620,Integrated,,,,"802.11ac, 802.11bgn",,,,Windows 10,8 watt_hours,3, ,2.5 Kg,15CR-CL,24 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell XPS 9570 -Touchscreen de 15,6"" pulgadas UHD (3840 x 2160) 32 GB RAM, 1TB SSD, Lector de Huellas Dactilares Windows 10 Pro- Plateado
                    
                

                
                    
                    
                
            ","$65,050.00",,29 calificaciones,Dell,3.5 de 5 estrellas,Dell,XPS 9570,,,,15.6 inches,,Intel,Intel Core i7,4.10 GHz,32 GB,,DDR4 SDRAM,,1 TB,,Solid State,GTX 1050Ti,nvidia_geforce_gtx_1050_ti,,,,802.11ac,,,,Windows 10,3 watt_hours,3, ,3.6 Kg,XPS 9570,8 de julio de 2018
"
                
                    
                    
                

                
                    
                    
                        HP ENVY x360 Convertible, Pantalla de 15"" FHD, Procesador Intel core 8ª generación, 12GB RAM, 1TB HDD, Sistema operativo Windows 10, Color Silver (15-cn0001la)
                    
                

                
                    
                    
                
            ","$27,999.01",,7 calificaciones,HP,3.9 de 5 estrellas,HP,HP ENVY x360 Convertible,,19 millimeters,35.9 centimeter,15.6 inches,,Intel,Intel Core i5,1.6 GHz,8 GB,,,8 GB,,,,,,,,,802.11bgn,,3,,Windows 10,41 watt_hours,, ,3.3 Kg,15-cn0001la,1 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        Goldengulf 2020 - Ordenador portátil de 10,1 pulgadas Android 6.0 Quad Core Mini Notebook Netbook 8 GB WiFi Webcam USB Netflix YouTube Google Player Flash, Blanco, 25.6 cm
                    
                

                
                    
                    
                
            ","$3,783.70",,7 calificaciones,Goldengulf,3.2 de 5 estrellas,Goldengulf,CLP-290,Blanco,25 millimeters,19 centimeter,10.1 inches,1024×600,Allwinner,,,1 GB,DDR3,DDR3 SDRAM,,8 GB,,Ethernet 100Base-T,1,,,,,802.11bgn,2,,,Android,3.70 watt_hours,1, ,1.1 Kg,CLP-290,9 de abril de 2020
"
                
                    
                    
                

                
                    
                    
                        Lenovo Ideapad 530S Laptop de 14 Pulgadas
                    
                

                
                    
                    
                
            ","$22,066.28",,2 calificaciones,Lenovo,4.5 de 5 estrellas,Lenovo,IdeaPad 530s,Negro,15 millimeters,32.3 centimeter,14 inches,,AMD,Ryzen 5 2500U,2,8 GB,,,16 GB,,,Solid State,AMD Radeon Vega 8,,DDR4 SDRAM,,Integrado,802.11ac,,,None,Windows 10,45 watt_hours,4, ,2.1 Kg,81H1000SUS,12 de octubre de 2018
"
                
                    
                    
                

                
                    
                    
                        2019 Newest Lenovo IdeaPad 15.6"" HD High Performance Laptop PC |7th Gen AMD A9-9425 Dual-Core 3.10 GHz| 4GB RAM | 128GB SSD | 802.11ac | Bluetooth | DVD+/-RW | HDMI | Win 10
                    
                

                
                    
                    
                
            ",,,"1,154 calificaciones",Lenovo,4.0 de 5 estrellas,Lenovo,130-15AST,Negro,23 millimeters,25.4 centimeter,15.6 inches,,Intel,AMD A Series,3.10 GHz,4 GB,,DDR4 SDRAM,4 GB,128 GB,,Solid State,AMD Radeon R5,amd_radeon_r5,DDR3 SDRAM,2 MB,Integrado,802.11ac,,,No Optical Drive,Windows 10 Home,25 watt_hours,4, ,2.6 Kg,81H5002FUS,27 de marzo de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Spin 3 Convertible Laptop, 14"" Full HD IPS Touch, 8th Gen Intel Core I5-8265U, 8GB DDR4, 256GB PCIe Nvme SSD, Recargable Active Stylus, Windows 10 Home, SP314-53N-53SH
                    
                

                
                    
                    
                
            ","$19,595.23",,8 calificaciones,Acer,4.6 de 5 estrellas,Acer,SP314-53N-53SH,,20 millimeters,23.9 centimeter,14 inches,,Intel,Intel Core i5,3.9 GHz,8 GB,DDR4,,16 GB,256 GB,,Solid State,,Integrated,Shared,,Integrado,802.11ac,1,,None,Windows 10 Home,4515 milliamp_hours,3, ,2.4 Kg,SP314-53N-53SH,11 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo V110 Portátil, 14"", Intel Celeron 1.10GHz, 4GB, Windows 10
                    
                

                
                    
                    
                
            ","$5,899.00"," $6,610.02",15 calificaciones,Lenovo,2.3 de 5 estrellas,Lenovo,V110,Black,24 millimeters,34.4 centimeter,14 inches,,Intel,Intel Celeron,1.1 GHz,4 GB,,,4 GB,,,,,,,,,802.11ac,,1,,Windows 10,45 watt_hours,, ,2.4 Kg,V110,27 de julio de 2017
"
                
                    
                    
                

                
                    
                    
                        Acer SP314-51-3704 Notebook_Computer, Bluetooth+ Wi-Fi, 14inches, Intel Core_i3_8130u 2.2GHz, 4GB,, 1000GB, Windows 10,
                    
                

                
                    
                    
                
            ","$13,899.00",,,Acer,,Acer,Spin,,21 millimeters,33.5 centimeter,14 inches,,Intel,Core i3 8130U,2.2 GHz,4 GB,,,4 GB,1000 GB,,,,,,,Integrado,802.11ab,,2,,Windows 10,45 watt_hours,3, ,2.4 Kg,SP314-51-3704,16 de agosto de 2018
"
                
                    
                    
                

                
                    
                    
                        HP Laptop Probook 440 G5 Intel Core I5 7200 256 GB SSD y 8 GB Ram Win 10 Pro 13"" 2 TB en la nuebe
                    
                

                
                    
                    
                
            ","$13,999.00"," $21,999.00",2 calificaciones,HP,3.0 de 5 estrellas,HP,,,,,14 inches,,Intel,Core i5 7200U,2.50 GHz,8 GB,,DDR4 SDRAM,,256 GB,,eSATA,,,,,,Bluetooth,,,,Windows,4.30 watt_hours,3, ,2.2 Kg,,9 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo Flex 14 2-en-1 portÃ¡til Convertible, 14 Pulgadas FHD (1920 x 1080) visualizaciÃ³n tÃ¡ctil, procesador AMD Ryzen 5 3500U, 12 GB DDR4 RAM, 256 GB NVMe SSD, Windows 10, 81SS000DUS, Negro
                    
                

                
                    
                    
                
            ",,,"1,417 calificaciones",Lenovo,4.4 de 5 estrellas,Lenovo,Flex 14,Negro ónice,18 millimeters,22.9 centimeter,14 inches,1920x1080 pixels,AMD,AMD R Series,2.1 GHz,12 GB,DDR4,DDR4 SDRAM,8 GB,,,Serial ATA,AMD Radeon Vega 8,Integrated,GDDR6,,Integrado,Bluetooth,,,None,Windows 10,45 watt_hours,4, ,2.2 Kg,81SS0005US,11 de julio de 2019
"
                
                    
                    
                

                
                    
                    
                        2020 HP 15.6"" Touchscreen Laptop Computer 10th Gen Intel Quard-Core i7 1065G7 up to 3.9GHz 8GB DDR4 RAM 512GB PCIe SSD 802.11ac WiFi Bluetooth 4.2 USB 3.1 Type-C HDMI Silver Win10
                    
                

                
                    
                    
                
            ",,$599.00,2 calificaciones,HP,5.0 de 5 estrellas,HP,Hp 15 Laptop,,18 millimeters,24.2 centimeter,15.6 inches,1366x768,Intel,Intel Core i7,1.30 GHz,8 GB,DDR4,DDR4 SDRAM,,512 GB,,Solid State,Intel Iris Plus Graphics,intel_iris,,,PCI-E,"802.11b/g, 802.11ac, 802.11bgn, 802.11b",,,,Windows 10,42 watt_hours,3, ,2.2 Kg,15-dy,13 de enero de 2020
"
                
                    
                    
                

                
                    
                    
                        ASUS Chromebook Flip C302CA-DH54 Gris, Plata 31.8 cm (12.5"") 1920 x 1080 Pixeles Pantalla táctil 1.1 GHz Intel® Core™ M m5-6Y54 - Ordenador portátil (Intel® Core™ M, 1.1 GHz, 31.8 cm (12.5""), 1920 x 1080 Pixeles, 4 GB, 64 GB)
                    
                

                
                    
                    
                
            ","$13,799.00",,"1,806 calificaciones",Asus,4.1 de 5 estrellas,Asus,C302CA-DH54,"Gris, Plata",13 millimeters,21.1 centimeter,12.5 inches,1920 x 1080 Pixeles,Intel,Athlon Dual Core,1.1 GHz,4 GB,A bordo,DDR3 SDRAM,4 GB,64 GB,Flash Memory Solid State,Solid State,Intel HD Graphics,No disponible,DDR3 SDRAM,,Integrado,802.11ac,,2,No,Chrome OS,39 watt_hours,2, ,1.9 Kg,C302CA-DH54,18 de agosto de 2017
"
                
                    
                    
                

                
                    
                    
                        Dell Latitude E7470 - Laptop 14""  Intel Core-i7, 8GB (RAM), 256GB SSD, Wiondows 10 (Renewed)
                    
                

                
                    
                    
                
            ","$14,772.53",,36 calificaciones,Amazon Renewed,3.3 de 5 estrellas,Dell,Latitude E7470,Gris,19 millimeters,23.2 centimeter,14 inches,2560x1440,Intel,Core i7 6600U,2.4 GHz,3 GB,SDRAM,DDR4 SDRAM,8 GB,1 TB,Memoria flash de estado sólido,Solid State,Intel HD Graphics,Integrada,Shared,,Integrado,802.11ac,,3,Ninguno,Windows 10,1 watt_hours,4, ,2.4 Kg,E7470,1 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Inspiron I5570_i7F82T4GSW10s_119 Laptop 15.6"" FHD, Intel Core i7-8550U, 8GB RAM, 2048GB, Windows 10
                    
                

                
                    
                    
                
            ",,,10 calificaciones,Dell,3.5 de 5 estrellas,Dell,Inspiron,,10 millimeters,38 centimeter,15.6 inches,,Intel,Intel Core i7,4 GHz,8 GB,,DDR4 SDRAM,16 GB,2048 GB,,,,,,,,802.11ac,,3,,Windows 10,42 watt_hours,1, ,3 Kg,I5570_i7F82T4GSW10s_119,11 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        Lenovo 81F400BELM NOTEBOOK_COMPUTER, 14inches, Intel Intel_Core_i5_3330S 1.60GHz, 8GB, GB, Windows 10,
                    
                

                
                    
                    
                
            ","$13,499.00"," $14,999.01",1 calificación,Lenovo,3.0 de 5 estrellas,Lenovo,Lenovo,Plata,30.5 centimeter,6.5 centimeter,14 inches,1366 x 768 Píxeles,Intel,Intel Core i5-3330S,1.6 GHz,8 GB,8GB DDR4 2400MHz,SODIMM,12 GB,1 TB,,ATA-3,,,,,,Bluetooth,,3,,Windows 10,30 watt_hours,3, ,2.1 Kg,81F400BELM,2 de mayo de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Dell Inspiron 5480, Pantalla 14"", Procesador Core i5 8a. Gen, 8GB RAM, 256 SSD, WIN 10, Plata, I5480_I58252GSW10S_219
                    
                

                
                    
                    
                
            ","$21,099.01",,2 calificaciones,Dell,4.5 de 5 estrellas,Dell,Dell,Negro,36 centimeter,8 centimeter,14 inches,,Intel,Intel Core i5-3330S,1.6 GHz,8 GB,DDR4,DDR4 SDRAM,32 GB,,,,,,,,,Bluetooth,,3,,Windows 10,42 watt_hours,3, ,2.4 Kg,I5480_I58252GSW10S_219 F02M4,18 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        LAPTOP GAMING DELL ALIENWARE 15 15.6"", GEFORCE GTX 1060,  CORE i5 8 Gen. RAM 8GB, 1TB DD + 8GB SSD PLATA (A15CFL_i581T60W10s_119)
                    
                

                
                    
                    
                
            ","$50,479.15"," $53,358.67",1 calificación,Dell,5.0 de 5 estrellas,Dell,Alienware,,10 millimeters,38.9 centimeter,15.6 inches,,Intel,None,2.3 GHz,8 GB,DDR4,DDR4 SDRAM,32 GB,1024 GB,,,NVIDIA GeForce GTX 1060,nvidia_geforce_gtx_1060,,,,802.11ac,,3,,Windows 10,42 watt_hours,, ,5.9 Kg,A15CFL_i581T60W10s_119,11 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop Gamer TUF 15.6"",GeForce RTX 2060, Ryzen 5, 16GB RAM, 1TB HDD + 256GB SSD, FX505DV-AL111T
                    
                

                
                    
                    
                
            ","$28,499.00",,1 calificación,Asus,5.0 de 5 estrellas,Asus,FX505DV-AL111T,,30.3 centimeter,9.4 centimeter,15.6 inches,,AMD,Ryzen 5 3500U,3.5 GHz,16 GB,DDR4,DDR4 SDRAM,32 GB,1 TB,Unidad híbrida,Serial ATA,,Integrada,DDR4 SDRAM,16 GB,Integrado,,1,2,CD-ROM,Windows 10,10000 kilowatt_hours,1, ,3.7 Kg,FX505DV-AL111T,5 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Lenovo COMLEN8360 Laptop IdeaPad L340 Intel Core I5-9300H, 8 GB, 15.6 Pulgadas, Windows 10 Home, 1 TB
                    
                

                
                    
                    
                
            ","$16,999.00"," $19,999.00",4 calificaciones,Lenovo,3.0 de 5 estrellas,Lenovo,COMLEN8360,Negro,25.5 centimeter,24 millimeters,15.6 inches,,Intel,Core i5 Family,2.4,1 TB,DRAM,DDR4 SDRAM,8 GB,1000 GB,Flash Memory Solid State,,NVIDIA GeForce GTX 1050,Integrated,DDR DRAM,,Integrado,802.11bgn,1,1,None,Windows 10 Home,5 watt_hours,3, ,3.2 Kg,Ideapad L340-15IRH,26 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus Laptop ZenBook Duo 14"", GeForce MX250, Core i5 10a Gen, 8GB RAM, 512GB SSD, UX481FL-BM066R
                    
                

                
                    
                    
                
            ","$33,999.00"," $39,999.00",,Asus,,Asus,UX481FL-BM066R,,23.1 centimeter,5.5 centimeter,14 inches,,Intel,Core i5-10210U,1.6 GHz,8 GB,GDDR5,,8 GB,,Unidad híbrida,PCIE x 8,NVIDIA GeForce MX250,Integrada,GDDR5,8 GB,Integrado,,,3,Ninguno,Windows 10 Pro,1 kilowatt_hours,1, ,3.2 Kg,90NB0P61-M03070,6 de marzo de 2020
"
                
                    
                    
                

                
                    
                    
                        Acer SF315-41G-R6MP Swift 3, 15.6"" Full HD, AMD Ryzen 7 2700U, Radeon RX 540 Gráficos, 8GB DDR4, 256GB SSD, Windows 10, Negro
                    
                

                
                    
                    
                
            ","$19,628.98",,63 calificaciones,Acer,3.9 de 5 estrellas,Acer,,Negro,19 millimeters,25.5 centimeter,15.6 inches,,AMD,,3.8 GHz,8 GB,DDR4,DDR4 SDRAM,8 GB,,,,AMD Radeon RX 540,amd_radeon_rx,GDDR5,,Integrado,802.11ac,1,,None,Windows 10 Home,32 watt_hours,4, ,3 Kg,SF315-41G-R6MP,29 de septiembre de 2018
"
                
                    
                    
                

                
                    
                    
                        Acer Aspire 5 Slim Laptop, 15.6"" Full HD IPS Display, 10th Gen Intel Core i3-10110U, 4GB DDR4, 128GB PCIe NVMe SSD, Intel Wi-Fi 6 AX201 802.11ax, Backlit KB, Windows 10 in S Mode, A515-54-37U3
                    
                

                
                    
                    
                
            ","$16,950.00",,58 calificaciones,Acer,4.1 de 5 estrellas,Acer,A515-54-37U3,Silver,18 millimeters,25 centimeter,15.6 inches,,Intel,Intel Core i3,4.1 GHz,4 GB,DDR4,DDR4 SDRAM,20 GB,128 GB,,Solid State,Intel UHD Graphics 620,Integrated,Shared,,Integrado,802.11ax,1,,No Optical Drive,Windows 10,3220 milliamp_hours,4, ,2.6 Kg,A515-54-37U3,17 de diciembre de 2019
