name,price_current,price_original,reviews_number,seller,score,Marca,Series,Color,Alto del producto,Ancho del producto,Tamaño de la pantalla,Resolución de la pantalla,Marca del procesador,Tipo de procesador,Velocidad del procesador,Tamaño de RAM,Tecnología de la memoria,Tipo de memoria del equipo,Memoria máxima compatible,Tamaño de la unidad de disco duro,Descripción del disco duro,Interfaz de la unidad de disco duro,Coprocesador de gráficos,Descripción de la tarjeta gráfica,Tipo de RAM para gráficos,Tamaño de RAM de la tarjeta gráfica,Interfaz de la tarjeta gráfica,Tipo de conexión inalámbrica,Número de puertos USB 2.0,Número de puertos USB 3.0,Tipo de unidad óptica,Sistema operativo,Lithium Battery Energy Content,Number of Lithium Ion Cells, ,Peso del envío,Número de modelo del producto,Producto en Amazon.com.mx desde
"
                
                    
                    
                

                
                    
                    
                        Latest_Lenovo 14"" IdeaPad Flex Pro UHD Multi-Touch 2-in-1 Laptop, Intel Core i7-8550U, 16GB DDR4, 512GB SSD, USB Type-A (USB 3.1 USB 3.2 Gen 1), Thunderbolt 3, Backlit Keyboard, Win 10 Pro, Platinum
                    
                

                
                    
                    
                
            ",,,1 calificación,Lenovo,5.0 de 5 estrellas,Lenovo,Lenovo Ideapad,Platino,14 millimeters,22.4 centimeter,13.9 inches,,Intel,Core i7 Family,3.70 GHz,16 GB,DDR4,DDR4 SDRAM,,512 GB,,Solid State,Intel UHD Graphics 620,Integrated,,,,802.11ac,,,,Windows 10,45 watt_hours,3, ,2.7 Kg,,13 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Alienware 15.6"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 1TB Hard Drive + 256GB Solid State Drive - Black
                    
                

                
                    
                    
                
            ","$54,999.00",,1 calificación,Alienware,5.0 de 5 estrellas,Alienware,Alienware,Negro,25 millimeters,30.5 centimeter,15.6 inches,1920x1080,Intel,Core i7 8750H,2.1 GHz,16 GB,,DDR SDRAM,16 GB,1 TB,,eSATA,NVIDIA GeForce GTX 1070,nvidia_geforce_gtx_1070,DDR4 SDRAM,6 GB,Integrado,Bluetooth,,,No Optical Drive,Windows 10,60 watt_hours,3, ,6.2 Kg,Alienware 15 R4,23 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        Newest HP 14"" HD Premium Business Laptop PC | 10th Gen Intel Quad-Core i5-1035G1 up to 3.6GHz | 8GB RAM | 256GB SSD | WiFi | HDMI | Card Reader | Bluetooth | Windows 10 | Silver
                    
                

                
                    
                    
                
            ",,,33 calificaciones,HP,3.8 de 5 estrellas,HP,HP,Plateado,18 millimeters,22.5 centimeter,14 inches,1366 x 768,Intel,Intel Core i5,1 GHz,8 GB,,DDR4 SDRAM,,256 GB,,PCIE x 4,Intel UHD Graphics,,,,,802.11ac,,,,Windows 10,5 watt_hours,3, ,2 Kg,HP,19 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Spin 5 SP513-53N-53Y5, portátil Convertible, 2 en 1, 13.3"" Full HD Touch, 8.ª generación Intel Core Windows 10, Sólo para Notebook, Gris, 8GB/256GB/Win 10 Home
                    
                

                
                    
                    
                
            ","$20,606.63",,10 calificaciones,Acer,3.9 de 5 estrellas,Acer,SP513-53N-53Y5,gris,16 millimeters,22.6 centimeter,13.3 inches,,Intel,,,8 GB,DDR4,,8 GB,256 GB,,Solid State,Intel HD Graphics 620,Integrated,Shared,,Integrado,Bluetooth,1,,None,Windows 10 Home,4670 milliamp_hours,3, ,2.2 Kg,SP513-53N-53Y5,20 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Spectre x360, 10th Gen Gemcut 15t ,Touch 4K UHD,i7-10510U Quad Core,NVIDIA GeForce MX250 2 GB,512GB NVMe SSD,16GB RAM,Win 10 Pro Pre-Installed by HP, 64GB Neopack Flash Drive, HP Premium Wty
                    
                

                
                    
                    
                
            ","$52,899.00",,,HP,,HP,MX250,Plata ceniza oscura.,,,15.6 inches,3840x2160,Intel,Intel Core i7,1.80 GHz,16 GB,"SDRAM, DDR4",DDR4 SDRAM,,512 GB,,Solid State,Nvidia,Dedicated,,,,Bluetooth,,,,Windows 10 Pro,84 watt_hours,6, ,4.6 Kg,Spectre 15T,27 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Spin 5 Full HD Touch, 8va generación habilitada para Amazon Alexa, 8GB DDR4, 256 GB SSD , PC, Gris Acero, PC
                    
                

                
                    
                    
                
            ","$20,790.00",,58 calificaciones,Acer,3.7 de 5 estrellas,Acer,SP513-52N-52PL,Gris Acero,16 millimeters,32.4 centimeter,13.3 inches,,Intel,Intel Core i5,3.4 GHz,8 GB,,,8 GB,256 GB,,Solid State,Intel UHD Graphics 620,Integrated,L2 cache,,PCI-E,802.11ac,1,,None,Windows 10 Home,48 watt_hours,3, ,2.2 Kg,SP513-52N-52PL,29 de mayo de 2018
"
                
                    
                    
                

                
                    
                    
                        Dell 5567/R Portátil 15.6"", Intel Core i7, Memoria RAM de 8GB, Disco Duro de 1000GB, Windows 10 Home, color Rojo
                    
                

                
                    
                    
                
            ",,,9 calificaciones,Dell,3.6 de 5 estrellas,Dell,Inspirion,Rojo,23 millimeters,25.9 centimeter,15.6 inches,,Intel,Intel Core i7,2.4 GHz,8 GB,,,16 GB,1000 GB,SATA,ATA,,amd_radeon_r7_m445,,,,802.11ag,,2,DVD+R,Windows 10 Home,12 watt_hours,, ,3.4 Kg,5567/R,22 de diciembre de 2016
"
                
                    
                    
                

                
                    
                    
                        Desktop Alienware Aurora, Procesador Core i7, 16GB + OPTANE MEMORY, 2TB DD, GPU NVIDIA GEFORCE, Plata, AACFL_i7162optT60SW10s_120
                    
                

                
                    
                    
                
            ","$57,499.01",,,Alienware,,Alienware,Alienware R8,,18.6 centimeter,21.2 centimeter,15.6 inches,,Intel,Intel Core i7,4.6 GHz,16 GB,,SDRAM,32 GB,2000 GB,SATA,Serial ATA,,,,,,"802.11b, Bluetooth",6,6,,Windows 10,31 watt_hours,4, ,3.1 Kg,AACFL_i7162optT60SW10s_120,25 de febrero de 2019
"
                
                    
                    
                

                
                    
                    
                        Samsung Chromebook Pro Convertible Touch Screen Laptop, 12.3 (XE510C24-K01US)
                    
                

                
                    
                    
                
            ","$21,950.00",,471 calificaciones,Samsung,4.0 de 5 estrellas,SAMSUNG,Samsung,,14 millimeters,22.1 centimeter,12.3 inches,,AMD,Athlon Dual Core,900 GHz,4 GB,DDR3,DDR3 SDRAM,4 GB,500 GB,,IDE,,,,,Integrado,802.11g,,2,None,DOS,39 watt_hours,2, ,1.7 Kg,XE510C24-K01US,15 de mayo de 2017
"
                
                    
                    
                

                
                    
                    
                        Asus TUF Gaming Laptop, 17.3” Full HD IPS Type, AMD Ryzen 5 3550H CPU, AMD Radeon RX560X, 8GB DDR4, 512GB PCIe SSD, Gigabit Wi-Fi 5, Windows 10 Home - FX705DY-EH53
                    
                

                
                    
                    
                
            ",,,131 calificaciones,Asus,4.2 de 5 estrellas,Asus,TUF Gaming FX705DY,,28 millimeters,27.9 centimeter,17.3 inches,,,,,8 GB,DDR4,DDR4 SDRAM,,,,,,,,,PCI-E,"802.11a/b/g/n/ac, Bluetooth",1,,,Windows 10 Home,64 watt_hours,4, ,3.9 Kg,FX705DY-EH53,23 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        MSI GF75 17.3"" Gaming Laptop Intel Core i7-9750H 8GB RAM 512GB SSD 120Hz GTX 1660 Ti Aluminum Black
                    
                

                
                    
                    
                
            ",,,10 calificaciones,MSI,4.0 de 5 estrellas,MSI,MSI GF75,,,,17.3 inches,,,8032,,,,,,,,,NVIDIA GeForce GTX 1660Ti,dedicated,,,,,,,,,51 watt_hours,3, ,4.2 Kg,,25 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        2020 Dell Inspiron 14"" Laptop Computer 10th Gen Intel i3 1005G1 Up to 3.4GHz 4GB DDR4 RAM 128GB PCIe SSD Untel UHD Graphics HDMI 802.11ac WiFi Bluetooth 4.1 Windows 10
                    
                

                
                    
                    
                
            ","$13,099.00",,6 calificaciones,Dell,5.0 de 5 estrellas,Dell,i3493-3464BLK-PUS,Negro,20 millimeters,23.3 centimeter,14 inches,1366x768,Intel,Core i3 Family,1.20 GHz,4 GB,DDR4,DDR4 SDRAM,,128 GB,,Solid State,Intel UHD Graphics,intel_hd_graphics_620,,,,802.11ac,,,,Windows 10,45 watt_hours,1, ,2.4 Kg,i3493-3464BLK-PUS,30 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Inspiron 15.6"" Home and Business Laptop HD Touchscreen PC Core i5-8265U, 8GB RAM, 256GB SSD, 4 Cores Up to 3.90 GHz, UHD Graphics 620, Lan, Webcam, SD Card, Win 10
                    
                

                
                    
                    
                
            ",,,1 calificación,Dell,5.0 de 5 estrellas,Dell,850011104200,,20 millimeters,25.9 centimeter,15.6 inches,1366x768,Intel,Intel Core i5,1.60 GHz,8 GB,DDR4,DDR4 SDRAM,,256 GB,,Solid State,Intel UHD Graphics 620,Integrated,,,,802.11ac,,,,Windows 10,4.90 watt_hours,2, ,2.8 Kg,W1J46FX,24 de noviembre de 2019
"
                
                    
                    
                

                
                    
                    
                        ASUS 2020 TUF 15.6 Inch FHD IPS Gaming Laptop (AMD Ryzen 7 R7-3750H up to 4.0 GHz, 8GB RAM, 256GB SSD, NVIDIA GeForce GTX 1650, RGB Backlit Keyboard, Bluetooth, WiFi, HDMI, Windows 10)
                    
                

                
                    
                    
                
            ",,,,Asus,,Asus,Asus,,19 millimeters,26.2 centimeter,15.6 inches,1920 x 1080,AMD,AMD A Series,2.30 GHz,8 GB,,DDR4 SDRAM,,256 GB,,Serial ATA,NVIDIA GeForce GTX 1650,nvidia_geforce_gtx,,,,802.11ac,,,,Windows 10,48 watt_hours,3, ,3.3 Kg,Asus,29 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        MSI GF75 17.3"" Gaming Laptop Intel Core i7-9750H 8GB RAM 512GB SSD 120Hz GTX 1650 Aluminum Black
                    
                

                
                    
                    
                
            ",,,6 calificaciones,MSI,4.1 de 5 estrellas,MSI,,,,,17.3 inches,,,8032,,,,,,,,,NVIDIA GeForce GTX 1050 Ti,dedicated,,,,,,,,,62 watt_hours,, ,4 Kg,,15 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        New HP 15.6"" HD Touchscreen Laptop Intel Core i3-1005G1 8GB DDR4 RAM 128GB SSD HDMI Bluetooth 802.11/b/g/n/ac Windows 10 15-dy1731ms Silver
                    
                

                
                    
                    
                
            ",,,91 calificaciones,HP,4.4 de 5 estrellas,HP,15-dy1731ms,Plateado,18 millimeters,24.2 centimeter,15.6 inches,1366x768,Intel,Intel Core i3,1.20 GHz,8 GB,DDR4,DDR4 SDRAM,8 GB,128 GB,,Solid State,Intel UHD Graphics,Integrated,DDR3 SDRAM,2 GB,Integrado,"802.11b/g, 802.11bgn, 802.11b",,,No Optical Drive,Windows 10,30 watt_hours,3, ,2.2 Kg,7PA01UA,7 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Asus 14.0"" HD visualización Ancha LED portátil de Alto Rendimiento, procesador de la Serie A6, 4 GB de RAM DDR4, 500 GB de Disco Duro, cámara Web, inalámbrica + Bluetooth, HDMI, Ventana 10
                    
                

                
                    
                    
                
            ",,,104 calificaciones,Asus,3.5 de 5 estrellas,Asus,ASUS,Gradiente de plata.,7.6 centimeter,30.5 centimeter,14 inches,,Intel,AMD A6,2.6 GHz,8 GB,"SDRAM, DDR4",DDR SDRAM,1 GB,512 GB,,Solid State,AMD,integrated,PC-133 SDRAM Memory,,AGP,802.11bgn,1,,BD-R,Windows 10,19.32 watt_hours,4, ,2.2 Kg,X441BA-CBA6A,10 de abril de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo 2018 Business Flagship Laptop 15.6"" táctil antirreflejo Intel 8th Gen i5-8250U Procesador cuatro núcleos 12GB DDR4 RAM 1TB HDD DVD-RW Webcam HDMI Dolby Audio Windows 10
                    
                

                
                    
                    
                
            ",,,76 calificaciones,Lenovo,3.5 de 5 estrellas,Lenovo,Lenovo 320,Plateado,25 millimeters,27.9 centimeter,15.6 inches,,Intel,Intel Core i5,1.60 GHz,8 GB,,DDR3 SDRAM,,1 TB,,Serial ATA,Intel HD Graphics 620,intel_hd_graphics_620,,,,Bluetooth,,,,Windows 10,5 watt_hours,2, ,2.7 Kg,T8TJG,12 de diciembre de 2017
"
                
                    
                    
                

                
                    
                    
                        Dell Latitude 7300 - computadora portátil de 13,3"", Intel Core i7-8665U, 8 GB de RAM, 256 GB SSD
                    
                

                
                    
                    
                
            ",,,,Dell,,Dell,7300,,19 millimeters,30.6 centimeter,13.3 inches,,Intel,Core i7 Family,1.9 GHz,8 GB,,DDR4 SDRAM,8 GB,256 GB,,Solid State,Intel UHD Graphics 620,,DDR4 SDRAM,,Integrado,Infrarrojo,,,No Optical Drive,Windows 10 Pro,52 watt_hours,4, ,2.2 Kg,7300,31 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Acer Laptop Aspire 3 AMD A9 9420E 4GB SSD 128GB 14 Win10 A314-21-91V1
                    
                

                
                    
                    
                
            ",,,17 calificaciones,Acer,3.8 de 5 estrellas,Acer,Acer Aspire,Negro,20 millimeters,24.4 centimeter,14 inches,1366 x 768,AMD,AMD A Series,1.80 GHz,4 GB,DDR4,DDR SDRAM,,128 GB,,Solid State,AMD Radeon R5,amd_radeon_r5,,,,802.11ac,,,,Windows,4.90 watt_hours,2, ,2.4 Kg,Acer,22 de agosto de 2019
"
                
                    
                    
                

                
                    
                    
                        Alienware 17.3"" Laptop - Intel Core i7 - 16GB Memory - NVIDIA GeForce GTX 1070 - 256GB Solid State Drive + 1TB Hard Drive - Black
                    
                

                
                    
                    
                
            ",,,49 calificaciones,Alienware,4.4 de 5 estrellas,Alienware,17 R5,"Negro, Plata",30 millimeters,33.2 centimeter,17.3 inches,1920 x 1080 Pixeles,Intel,Intel Core 2 Quad,2.2 GHz,16 GB,"SO-DIMM, DDR4-SDRAM",GDDR5,32 GB,1256 GB,,PCIE x 16,NVIDIA GeForce GTX 1070,NVIDIA® GeForce® GTX 1070,72-Pin EDO SIMM Memory,,AGP,"802.11a, 802.11b, 802.11g",1,,No,Windows 10 Home,68 watt_hours,4, ,8.7 Kg,AW17R5-7811BLK-PUS,9 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        HP Stream - computadora portátil de 14 Pulgadas, Intel Celeron N4000, 4 GB de RAM, 64 GB de eMMC, Windows 10 Home in S Mode (14-cb159nr, Color Negro Azabache)
                    
                

                
                    
                    
                
            ",,,867 calificaciones,HP,4.3 de 5 estrellas,HP,14-cb159nr,,,,14 inches,,Intel,Celeron N,2.6 GHz,4 GB,SDRAM,SDRAM,4 GB,64 GB,,Solid State,,Integrated,DDR4 SDRAM,,Integrado,,1,,No Optical Drive,Windows 10,41 watt_hours,3, ,2.1 Kg,8MB46UA#ABA,11 de septiembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Lenovo - 330S-15ARR 15.6"" Laptop - AMD Ryzen 5 - 8GB Memory - 128GB Solid State Drive - Platinum Gray
                    
                

                
                    
                    
                
            ",,,79 calificaciones,Lenovo,3.6 de 5 estrellas,Lenovo,Lenovo Ideapad,Platino/Gris,20 millimeters,24.4 centimeter,15.6 inches,1920x1080,AMD,AMD R Series,2 GHz,8 GB,,DDR3 SDRAM,,128 GB,,Solid State,,,,,,802.11ac,,,,Windows 10,12 watt_hours,2, ,2.3 Kg,81FB006AUS,24 de diciembre de 2018
"
                
                    
                    
                

                
                    
                    
                        Lenovo 100-15IBY 80MJ 80MJ00G2US 15.6"" Notebook, LCD, Intel Celeron N2840 (1M Cache, up to 2.58 GHz), 500GB HDD, 4GB RAM, Windows 10, Black
                    
                

                
                    
                    
                
            ",,,13 calificaciones,Lenovo,3.7 de 5 estrellas,Lenovo,Celeron,negro,25 millimeters,25 millimeters,15.6 inches,,Intel,Intel Celeron,2.16 GHz,4 GB,"SO-DIMM, SDRAM",SDRAM,8 GB,500 GB,,,Intel HD Graphics,Integrated,,,,Bluetooth,,,,Windows 10,5 watt_hours,3, ,2.3 Kg,80MJ00G2US,21 de octubre de 2017
"
                
                    
                    
                

                
                    
                    
                        GIGABYTE Aero 15 Classic-SA-U73ADW 15"" Thin Bezel UHD Auo IPS Adobe RGB 100%, i7-9750H, NVIDIA GeForce GTX 1660 Ti, Samsung 16GB RAM, M.2 PCIe 256GB Intel SSD, W10 Home, 94Wh Ultra Slim Gaming Laptop
                    
                

                
                    
                    
                
            ","$54,420.00",,137 calificaciones,Gigabyte,4.3 de 5 estrellas,GIGABYTE,AERO 15 Classic,,19 millimeters,24.9 centimeter,15.6 inches,,Intel,,,16 GB,"DRAM, DDR4",SODIMM,64 GB,,,PCIE x 4,NVIDIA GeForce,Dedicated,GDDR6,,PCI-E,"802.11ac, Bluetooth",,,No Optical Drive,Windows 10 Home,94 watt_hours,1, ,3.7 Kg,AERO 15 Classic-SA-U73ADW,29 de junio de 2019
"
                
                    
                    
                

                
                    
                    
                        Alienware 15 R4 Gaming Laptop, 15.6"" FHD IPS Display, Intel Core i7-8750H, 16GB DDR4 RAM, 128GB SSD + 1TB HDD, NVIDIA GTX 1060, Windows 10, Black
                    
                

                
                    
                    
                
            ","$47,150.00",,3 calificaciones,Alienware,3.3 de 5 estrellas,Alienware,AW 15 R4,,,,15.6 inches,1920x1080,Intel,Intel Core i7,4.40 GHz,16 GB,,SDRAM,,1128 GB,,Solid State,NVIDIA GeForce GTX 1060,Dedicated,,,,802.11ac,,,,Windows 10,68 watt_hours,9, ,5.7 Kg,NA,9 de junio de 2018
"
                
                    
                    
                

                
                    
                    
                        Acer Nitro 7 Laptop para Juegos, GTX 1650., 16GB / 512GB
                    
                

                
                    
                    
                
            ",,,52 calificaciones,Acer,4.2 de 5 estrellas,Acer,AN715-51-752B,,20 millimeters,26 centimeter,15.6 inches,,Intel,,,16 GB,DDR4,,32 GB,512 GB,,Solid State,NVIDIA GeForce GTX 1650,Dedicated,GDDR5,,Integrado,802.11ac,1,,None,Windows 10 Home,3580 milliamp_hours,3, ,3.4 Kg,AN715-51-752B,4 de mayo de 2019
"
                
                    
                    
                

                
                    
                    
                        HP 15.6"" HD (1366 x 768) Flagship Touch Screen Laptop, Intel Core i3-1005G1 Processor, 8GB DDR4 RAM, 128GB SSD, 802.11ac, Bluetooth 4.2, HDMI, USB 3.1, Windows 10 – Natural Silver
                    
                

                
                    
                    
                
            ",,,21 calificaciones,HP,4.3 de 5 estrellas,HP,HP 15,Plateado natural,18 millimeters,24.2 centimeter,15.6 inches,1366x768,Intel,Intel Core i3,1.20 GHz,8 GB,DDR4,DDR4 SDRAM,,128 GB,,Solid State,Intel UHD Graphics,,,,,802.11ac,1,,,Windows 10,42 watt_hours,3, ,2.2 Kg,HP 15,29 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop HP 15.6"" HD Sva BrightView Intel Core i5, 8GB RAM, 2TB HDD,Intel HD Graphics 620  Windows 10 (púrpura) teclado en inglés
                    
                

                
                    
                    
                
            ",,,76 calificaciones,HP,3.9 de 5 estrellas,HP,HP15-c,Púrpura,24 millimeters,25.4 centimeter,15.6 inches,,Intel,Intel Core i5,1.60 GHz,8 GB,,DDR3 SDRAM,,2 TB,,Serial ATA,Intel HD Graphics 620,intel_hd_graphics_620,,,,802.11ac,,,,Windows 10,4.90 watt_hours,2, ,2.6 Kg,T8TJG,22 de noviembre de 2017
"
                
                    
                    
                

                
                    
                    
                        Lenovo 130-15AST - Laptop de 15,6"" AMD A9-Series, 4GB DDR4 RAM, 128 GB SSD, Wi-Fi, HDMI, Bluetooth, Windows 10, Negro
                    
                

                
                    
                    
                
            ",,,148 calificaciones,Lenovo,4.1 de 5 estrellas,Lenovo,81H5002FUS,,23 millimeters,37.6 centimeter,15.6 inches,,AMD,AMD R Series,3.10 GHz,4 GB,DDR4,DDR4 SDRAM,100 GB,128 GB,,ATA,Other,integrated,DDR2 SDRAM,,AGP,Bluetooth,1,,Blu-Ray RW,Windows 10,45 watt_hours,4, ,2.6 Kg,NA,31 de marzo de 2019
"
                
                    
                    
                

                
                    
                    
                        Microsoft Surface Laptop 2 (Intel Core i5, 8GB RAM, 128GB) - Platinum (Newest Version)
                    
                

                
                    
                    
                
            ",,,94 calificaciones,Microsoft,4.2 de 5 estrellas,Microsoft,,Platinum,24 millimeters,22.3 centimeter,13.5 inches,,,i7-3960X,,8 GB,,DDR DRAM,,128 GB,,,,,,,Integrado,"802.11abg, 802.11a/b/g/n/ac, 802.11a/b/g/n, 802.11a",,,,,45.2 watt_hours,4, ,2.3 Kg,LQL-00001,18 de octubre de 2018
"
                
                    
                    
                

                
                    
                    
                        HP Spectre x360 15-bl112dx Negro, Cobre, Plata Híbrido (2-en-1) 39.6 cm (15.6"") 3840 x 2160 Pixeles Pantalla táctil 8ª generación de procesadores Intel® Core™ i7 i7-8550U 16 GB DDR4-SDRAM 512 GB SSD - Ordenador portátil (8ª generación de procesadores Intel® Core™ i7, 1.80 GHz, 39.6 cm (15.6""), 3840 x 2160 Pixeles, 16 GB, 512 GB)
                    
                

                
                    
                    
                
            ",,,6 calificaciones,HP,4.0 de 5 estrellas,HP,15-bl112dx,"Negro, Cobre, Plata",18 millimeters,25.1 centimeter,15.6 inches,3840 x 2160 Pixeles,Intel,Intel Core i7,1.8 GHz,16 GB,"SO-DIMM, DDR4-SDRAM",GDDR5,,512 GB,,PCIE x 16,NVIDIA GeForce MX150,NVIDIA® GeForce® MX150,,2 GB,,"802.11b, 802.11g",,,No,Windows 10 Home,79.20 watt_hours,6, ,4.4 Kg,Z4Z38UA,29 de octubre de 2017
"
                
                    
                    
                

                
                    
                    
                        Lenovo IdeaPad S340 - computadora portátil (15,6"", Intel Core i3 (hasta 3,90 GHz), memoria DDR4 de 8 GB, memoria NVMe SSD de 128 GB, USB tipo C, lector SD, teclado retroiluminado, cámara web de 720p, 1366 x 768, ónix negro)
                    
                

                
                    
                    
                
            ",,,3 calificaciones,Lenovo,3.8 de 5 estrellas,Lenovo,Lenovo Ideapad,,18 millimeters,24.4 centimeter,15.6 inches,1366x768,Intel,Intel Core i3,3.90 GHz,8 GB,,DDR4 SDRAM,,128 GB,,Solid State,Intel UHD Graphics 620,,,,,802.11ac,,,,Windows 10,5 watt_hours,2, ,2.4 Kg,,20 de julio de 2019
"
                
                    
                    
                

                
                    
                    
                        Laptop Gamer Alienware Area 51M i7 16GB 256GB 1TB RTX 2070
                    
                

                
                    
                    
                
            ",,,5 calificaciones,Alienware,4.8 de 5 estrellas,Alienware,Dell Alienware Area 51M,,15.2 centimeter,50.8 centimeter,17.3 inches,1920 x 1080,Intel,,4.90 GHz,16 GB,DDR4,DDR SDRAM,,256 GB,,,NVIDIA®,Dedicated,,8 GB,PCI-E,802.11ac,,,,Windows 10,91 watt_hours,6, ,7.8 Kg,Dell Alienware Area 51M,21 de mayo de 2019
"
                
                    
                    
                

                
                    
                    
                        Newest Lenovo IdeaPad S145 15.6"" HD Business Laptop, AMD A6-9225 Dual-core Upto 3.0GHz, 8GB RAM, 1TB HDD, AMD Radeon R4 Graphics, HDMI, WiFi, Card Reader, Windows 10, Black
                    
                

                
                    
                    
                
            ",,,37 calificaciones,Lenovo,3.7 de 5 estrellas,Lenovo,IdeaPad S145,Negro,20 millimeters,25.1 centimeter,15.6 inches,1366 x 768,AMD,AMD A Series,2.60 GHz,8 GB,DDR4,DDR4 SDRAM,,1 TB,,Serial ATA,AMD Radeon R4 Graphics,Integrated,DDR4 SDRAM,,Integrado,802.11ac,1,,No Optical Drive,Windows 10,8 watt_hours,2, ,2.4 Kg,LENOVO,20 de octubre de 2019
"
                
                    
                    
                

                
                    
                    
                        HP Stream 14-cb011wm Azul Computadora portátil 35.6 cm (14"") 1366 x 768 Pixeles Intel® Celeron® N N3060 4 GB DDR3L-SDRAM 32 GB eMMC - Ordenador portátil (Intel® Celeron® N, 1.6 GHz, 35.6 cm (14""), 1366 x 768 Pixeles, 4 GB, 32 GB)
                    
                

                
                    
                    
                
            ",,,19 calificaciones,HP,3.2 de 5 estrellas,HP,14-cb011wm,Azul,18 millimeters,22.6 centimeter,14 inches,1366 x 768 Pixeles,Intel,Celeron N3060,1.6 GHz,4 GB,DDR3L-SDRAM,PC 4000 DDR Memory,,32 GB,,,,No disponible,,,,"802.11b, 802.11g",1,,No,Windows 10 Home,48 watt_hours,2, ,2.1 Kg,5LH92UA,26 de agosto de 2018
"
                
                    
                    
                

                
                    
                    
                        Asus Vivobook S15 S512 Delgado y Ligero, i5 | 256 G SSD, Plateado, 15-15.99 Inches
                    
                

                
                    
                    
                
            ",,,28 calificaciones,Asus,4.5 de 5 estrellas,Asus,Vivobook S15 S512FA,Plateado,18 millimeters,23.1 centimeter,15.6 inches,,Intel,,,8 GB,DDR4,DDR4 SDRAM,12 GB,256 GB,,Solid State,Intel UHD Graphics 620,Integrated,Shared,,Integrado,"802.11b/n/ac, Bluetooth",2,,No Optical Drive,Windows 10 Home,37 watt_hours,2, ,2.5 Kg,S512FA-DB51,17 de julio de 2019
"
                
                    
                    
                

                
                    
                    
                        Dell Inspiron 2020 Premium 14” HD Laptop Notebook Computer, 4-Core 10th Gen Intel Core i5-1035G4 up to 3.7 GHz, Iris Plus Graphics, 8GB RAM, 512GB SSD, No DVD,Webcam,Bluetooth,Wi-Fi,HDMI,Windows 10
                    
                

                
                    
                    
                
            ",,,21 calificaciones,Dell,3.5 de 5 estrellas,Dell,Dell laptop,,,,14 inches,,Intel,Intel Core i5,1.10 GHz,8 GB,DDR4,DDR4 SDRAM,,512 GB,,Solid State,Intel Iris Plus Graphics,intel_iris,DDR4 SDRAM,,Integrado,Bluetooth,1,,No Optical Drive,Windows 10,1 watt_hours,1, ,2.5 Kg,10-DELL-658,26 de diciembre de 2019
"
                
                    
                    
                

                
                    
                    
                        Alienware AW17R4-7352SLV-PUS 17"" QHD Laptop (7th Generation Intel Core i7, 32GB RAM, 256SSD + 1TB HDD, Silver) VR Ready with NVIDIA GTX 1080
                    
                

                
                    
                    
                
            ",,,83 calificaciones,Alienware,3.5 de 5 estrellas,Alienware,,Epic Silver,30 millimeters,42.4 centimeter,17.3 inches,,Intel,8032,4.4 GHz,32 GB,DDR4,,32 GB,1000 GB,,Solid State,NVIDIA GeForce GTX 1080,nvidia_geforce_gtx_1080,,,,802.11ac,1,,None,Windows 10 Home 64-bit English,99 watt_hours,6, ,7.7 Kg,AW17R4-7352SLV-PUS,10 de junio de 2017
"
                
                    
                    
                

                
                    
                    
                        Asus VivoBook Pro 17 Thin and Portable Laptop, 17.3"" FHD, 8th Gen Intel Core i7-8565U Processor, NVIDIA GeForce MX150, 8GB DDR4 RAM, 512GB SSD, Backlit Keyboard, Windows 10 - N705FN-ES76
                    
                

                
                    
                    
                
            ",,,22 calificaciones,Asus,4.4 de 5 estrellas,Asus,VivoBook Pro 17 N705,,20 millimeters,26.9 centimeter,17.3 inches,,Intel,Intel Core i7,4.6 GHz,8 GB,DDR4,DDR4 SDRAM,16 GB,512 GB,,Solid State,NVIDIA GeForce MX150,,GDDR5,,PCI-E,"802.11a/b/g/n/ac, Bluetooth",2,,None,Windows 10 Home,42 watt_hours,3, ,3.4 Kg,N705FN-ES76,30 de enero de 2019
